,krankenhausStandort/bezeichnung,bettenStatus/statusHighCare,krankenhausStandort/position/latitude,krankenhausStandort/position/longitude,free_icu_beds_percent,staff_utilization_percent
0,"Städtisches Klinikum Dresden, Städtisches Klinikum Dresden - Standort Friedrichstadt",VERFUEGBAR,51.059519822296,13.718164444035,55,99
1,Diakonissenkrankenhaus Dresden,VERFUEGBAR,51.062785106656,13.761285781893001,64,96
2,"Städtisches Klinikum Dresden, Städtisches Klinikum Dresden - Standort Neustadt/Trachau",VERFUEGBAR,51.089995839126,13.70900201804,65,91
3,Herzzentrum Dresden,VERFUEGBAR,51.058086530837,13.77770733835,40,99
4,"Krankenhaus St. Joseph-Stift Dresden GmbH, Krankenhaus St. Joseph-Stift Dresden",VERFUEGBAR,51.047260729446,13.761893731153,60,94
5,"Universitätsklinikum Carl Gustav Carus an der TU Dresden, Universitätsklinikum Carl Gustav Carus an der TU Dresden, Fetscherstr. 74, 01307 Dresden",VERFUEGBAR,51.05681908786801,13.781290769675,38,93
6,ELBLANDKLINIKUM Radebeul,VERFUEGBAR,51.108144839836996,13.651184320434,45,96
7,"ASKLEPIOS-ASB Klinik Radeberg, Asklepios-ASB Klinik Radeberg",VERFUEGBAR,51.123693142487,13.930238020471,37,92
8,ELBLANDKLINIKUM Riesa,VERFUEGBAR,51.296177141948995,13.310297012313,47,94
9,"Fachkrankenhaus Coswig, Hauptstandort",VERFUEGBAR,51.131220411480996,13.593594074282,59,97
10,ELBLANDKLINIKUM Meißen,VERFUEGBAR,51.174052457982995,13.505172774192,37,93
11,"Helios Weißeritztal-Kliniken, Freital",VERFUEGBAR,50.991660570445006,13.645339464893,60,92
12,"Rudolf Presl GmbH & Co. Klinik Bavaria Rehabilitations KG, Standort Kreischa",VERFUEGBAR,50.947148070141,13.767353491858001,65,94
13,"Helios Klinikum Pirna, Hauptstandort",VERFUEGBAR,50.958528092101,13.953896284202001,63,93
14,Krankenhaus Bischofswerda,VERFUEGBAR,51.136227631721,14.178518414465001,43,94
15,"Malteser Sachsen Brandenburg gemeinnützige GmbH, Malteser Krankenhaus St. Johannes",VERFUEGBAR,51.264083323859,14.123152256143,42,94
16,"Klinikum Niederlausitz GmbH, Klinikum Niederlausitz GmbH - Standort Senftenberg",VERFUEGBAR,51.527581013423,14.001064538987999,44,93
17,"Klinikum Oberlausitzer Bergland gemeinnützige GmbH, Standort Ebersbach",VERFUEGBAR,51.005066756339,14.569731540978001,42,93
18,"Klinikum Oberlausitzer Bergland gemeinnützige GmbH, Standort Zittau",VERFUEGBAR,50.899258108901996,14.820976951160002,50,94
19,Malteser Krankenhaus St. Carolus,VERFUEGBAR,51.144222574099,14.939101695818,37,92
20,Städt. Klinikum Görlitz gGmbH,VERFUEGBAR,51.161540703266,14.969681301154,40,93
21,"Diakonissenkrankenhaus Dresden, Krankenhaus Emmaus Niesky",VERFUEGBAR,51.29418797387,14.817899107966001,54,100
